fips,popdensity,percminor,percold,CCVI
45001,50,0.285970417,0.363758608,7
22001,94.9,0.189821515,0.285206625,9
51001,72.1,0.303776379,0.398247563,9
16001,446.5,0.053574088,0.264714894,1
19001,12.4,0.012459295,0.386804474,3
21001,47.4,0.037678897,0.325474889,8
29001,44.7,0.057500296,0.253680098,4
40001,38.5,0.473779549,0.284756816,10
8001,438.4,0.110731673,0.2131741,3
16003,3.1,0.031058824,0.499764706,3
17001,76.8,0.052655615,0.343212921,3
18001,105.1,0.013694017,0.270849703,5
19003,8.6,0.017009602,0.403566529,1
28001,67.5,0.543632983,0.341529879,6
31001,55.9,0.041699724,0.316968678,2
39001,47.5,0.014680421,0.326431972,8
42001,198.2,0.033760979,0.354534048,5
53001,10.3,0.097221519,0.209271724,10
55001,31.5,0.051602123,0.484519363,4
50001,48.2,0.036999973,0.354096232,1
45003,158.2,0.272902757,0.337436025,6
27001,8.7,0.03659917,0.51276569,3
12001,308.5,0.275630103,0.248521981,2
37001,392.6,0.241798649,0.299917085,9
6001,2255.4,0.457644894,0.260201722,3
8003,23.1,0.095666247,0.244260625,4
36001,587.4,0.215933993,0.301223964,3
56001,9,0.070749462,0.215046242,1
51003,150.9,0.159964311,0.318245369,2
26001,15.4,0.017371164,0.560992086,7
28003,92.3,0.133676371,0.314854435,4
17003,25.7,0.333828383,0.380858086,10
37003,143.7,0.076888068,0.342703397,9
51510,10680.6,0.309207002,0.224724351,2
40003,6.6,0.097497393,0.335071255,7
19005,21.6,0.032967033,0.380928282,4
26005,142.2,0.032873934,0.310601993,4
24001,167.3,0.097442762,0.335272983,3
36003,45.1,0.032263623,0.33405126,7
37005,47.5,0.034853508,0.439566347,9
51005,33.5,0.05472837,0.40362173,3
42003,1668.9,0.179197047,0.333155512,2
18003,571,0.171354279,0.26949442,4
21003,61.3,0.019221665,0.313275258,9
22003,33.6,0.259050967,0.27029877,8
39003,255.1,0.139056914,0.313072869,5
45005,21.8,0.743232618,0.332809165,10
26007,49.6,0.018653032,0.406664316,3
6003,1.5,0.263396912,0.451407811,10
6005,66.2,0.073889749,0.43455298,5
51007,36.6,0.219626527,0.367632368,8
51009,66.8,0.208772816,0.363670814,6
28005,16.9,0.412218076,0.406214506,9
2020,171,0.288538715,0.232285328,2
20003,13.6,0.020817466,0.356181772,7
21005,112.3,0.03071085,0.293826943,7
45007,280.2,0.178085813,0.31494598,7
47001,226.8,0.061831542,0.346002981,6
48001,54.6,0.237628537,0.266083332,8
29003,40.7,0.022150281,0.332481399,3
48003,12.1,0.043137688,0.20917917,7
23001,230.1,0.058340066,0.321483298,2
48005,109.2,0.175194048,0.287133147,7
24003,1388.4,0.229708123,0.279767929,1
27003,836.4,0.127329974,0.280631294,2
37007,46.8,0.512481409,0.322466535,10
31003,7.4,0.014520202,0.392992424,1
26009,49.1,0.019858763,0.450331693,6
4001,6.4,0.763165223,0.281865271,10
19007,25,0.019618879,0.380236391,3
13001,36.5,0.213216621,0.307559302,10
51011,47.5,0.197714791,0.353386781,7
48007,94.4,0.051950235,0.459608272,9
8005,816,0.197174512,0.252351374,1
48009,9.7,0.033917596,0.361597997,4
8007,10.2,0.05833636,0.442789684,2
26011,41.4,0.021807061,0.43501097,9
5001,18,0.261973099,0.339355057,9
51013,9146,0.217311311,0.204537704,1
42005,99.9,0.01434197,0.385471094,6
48011,2.1,0.029069767,0.395348837,5
23003,10.1,0.035761649,0.407980808,3
22005,429.9,0.257002374,0.235473883,4
37009,63.6,0.020878675,0.419233465,7
39005,127.1,0.019834403,0.325332589,4
55003,14.9,0.128076923,0.353974359,3
5003,21.7,0.260750274,0.341664172,10
39007,138.9,0.048352189,0.340742412,7
53003,35.5,0.040778417,0.390358249,4
22007,65.8,0.310179372,0.326950673,9
48013,41.3,0.034347048,0.264042934,9
20005,37.6,0.064966343,0.301303032,4
29005,9.4,0.013150261,0.401469735,4
39009,130.7,0.069828922,0.243246528,4
13003,24.4,0.20609859,0.262263469,10
34001,477.6,0.266116363,0.329606034,6
40005,14.2,0.193669605,0.331261743,9
28007,25,0.441873128,0.321426627,10
29007,36.8,0.082715032,0.313861736,4
19009,12.4,0.012895024,0.418634217,2
39011,114.1,0.015893808,0.326434373,2
51015,78,0.055965649,0.36349179,2
46003,4,0.042841842,0.348089968,5
48015,46.4,0.11077395,0.335656407,8
1001,93.5,0.216201147,0.284473301,9
37011,70.8,0.059183091,0.364181662,6
22009,48.6,0.322351836,0.298749444,10
8009,1.4,0.036262204,0.39972106,5
13005,43.3,0.180062584,0.282431828,10
48017,8.5,0.066457948,0.256439448,10
12003,48.5,0.153588432,0.265843767,10
13007,9,0.465717982,0.391332471,10
41001,5.2,0.032862676,0.420529801,6
1003,137.1,0.110401703,0.348496941,4
13009,173.8,0.448452803,0.288579524,7
21007,32.3,0.042611856,0.354931696,9
24005,1384.6,0.369608332,0.309196541,3
24510,7443.7,0.666068598,0.267081055,6
45009,36.3,0.616042032,0.361961471,10
48019,28.9,0.031107606,0.464029092,6
13011,81.8,0.048820308,0.311407205,7
16005,78.4,0.069372719,0.257637311,1
26013,9.3,0.225721154,0.373798077,9
20007,3.9,0.029964222,0.40049195,5
1005,28.1,0.499658374,0.323258711,10
54001,48.5,0.019776232,0.343634714,4
38003,7.1,0.039271485,0.37820148,1
25001,542,0.059897944,0.482004376,1
45011,38.5,0.459312239,0.327965138,10
21009,90.6,0.057882108,0.314288301,6
55005,52.4,0.034053671,0.375166061,2
13013,504.1,0.172035293,0.23997327,6
26015,110.6,0.017839332,0.340255408,4
29009,46.1,0.043582456,0.356489996,8
18005,203.4,0.108382778,0.286587797,3
20009,29.2,0.033089503,0.344222741,6
13015,231.6,0.131907375,0.2708349,7
48021,97.9,0.105868286,0.291344739,8
29013,19.5,0.024019608,0.341911765,6
21011,44.4,0.022288621,0.302188484,10
5005,75.1,0.018669358,0.466229366,3
12005,244.3,0.152638879,0.313373307,6
26017,235,0.032341253,0.35675452,5
55007,10.2,0.117936445,0.467623986,2
46005,15,0.148493354,0.306466134,3
37013,56.9,0.269143355,0.393275133,8
45013,327.5,0.204255094,0.409315635,3
22011,32.2,0.146055351,0.283547634,7
40007,2.9,0.042113179,0.331453281,3
42007,379,0.07282903,0.37546588,4
30001,1.7,0.033390047,0.370161633,1
27005,26.1,0.094731023,0.355910506,2
40009,24.1,0.092035561,0.266525404,4
42009,47.6,0.014343241,0.386312687,6
47003,103.5,0.108670827,0.273767283,9
51019,104.6,0.088739889,0.378503308,4
48025,37,0.10712861,0.225212508,9
33001,152.5,0.021565993,0.396676608,1
21013,74,0.03236855,0.33467575,7
48027,338.4,0.302371486,0.206460429,7
39013,126.9,0.050085179,0.365113695,6
27007,18.7,0.237624608,0.283262535,3
13017,67.1,0.378090189,0.309823077,8
50003,52.8,0.029160001,0.392832084,1
38005,5,0.560040218,0.259982764,8
8011,3.9,0.130907854,0.307888473,9
5007,321.7,0.088082521,0.241680362,6
18007,21.3,0.017219461,0.319773489,7
19011,35.8,0.014429452,0.338312144,4
27009,99.3,0.065433469,0.259588112,7
28009,20.3,0.361383146,0.333816951,10
29015,27.4,0.018985372,0.48843241,9
41003,136.3,0.096958774,0.277955723,4
47005,41.1,0.037753337,0.386987148,9
